c1,c2,c3,c4
0.2375,0.24,0.2775,0.245
0.235,0.2425,0.2775,0.245
0.2325,0.2425,0.28,0.245
0.2325,0.24,0.2825,0.245
0.2325,0.2425,0.28,0.245
0.2325,0.2425,0.2775,0.2475
0.2325,0.2425,0.2775,0.2475
0.2325,0.2425,0.2775,0.2475
0.2325,0.2425,0.2775,0.2475
0.2325,0.245,0.2775,0.245
0.2325,0.245,0.2775,0.245
0.235,0.245,0.275,0.245
0.2325,0.2475,0.275,0.245
0.2325,0.2475,0.275,0.245
0.2325,0.2475,0.275,0.245
0.2325,0.2475,0.2725,0.2475
0.23,0.25,0.2725,0.2475
0.2275,0.2525,0.2725,0.2475
0.2275,0.25,0.2725,0.25
0.2275,0.25,0.2725,0.25
0.23,0.25,0.2725,0.2475
0.2325,0.25,0.2725,0.245
0.235,0.25,0.2725,0.2425
0.235,0.2525,0.2725,0.24
0.235,0.2525,0.2725,0.24
0.235,0.2525,0.275,0.2375
0.2375,0.2525,0.275,0.235
0.235,0.255,0.275,0.235
0.2375,0.255,0.2725,0.235
0.2375,0.255,0.2725,0.235
0.2375,0.255,0.27,0.2375
0.2375,0.2525,0.27,0.24
0.235,0.255,0.27,0.24
0.2325,0.2575,0.27,0.24
0.2325,0.2575,0.27,0.24
0.2325,0.2575,0.27,0.24
0.235,0.2575,0.27,0.2375
0.2325,0.26,0.27,0.2375
0.2325,0.26,0.27,0.2375
0.2325,0.2575,0.2725,0.2375
0.2325,0.2575,0.275,0.235
0.2325,0.2575,0.275,0.235
0.2325,0.255,0.2775,0.235
0.235,0.255,0.275,0.235
0.2375,0.2525,0.275,0.235
0.24,0.2525,0.2725,0.235
0.24,0.255,0.27,0.235
0.2375,0.255,0.2725,0.235
0.235,0.255,0.2725,0.2375
0.235,0.2575,0.2725,0.235
0.235,0.2575,0.2725,0.235
0.235,0.2575,0.2725,0.235
0.2325,0.2575,0.275,0.235
0.235,0.255,0.275,0.235
0.2375,0.255,0.2725,0.235
0.2375,0.255,0.2725,0.235
0.24,0.255,0.27,0.235
0.24,0.255,0.27,0.235
0.24,0.255,0.2675,0.2375
0.2375,0.255,0.2675,0.24
0.2375,0.255,0.2675,0.24
0.24,0.255,0.265,0.24
0.2375,0.255,0.2675,0.24
0.235,0.2575,0.2675,0.24
0.235,0.2575,0.27,0.2375
0.2375,0.2575,0.2675,0.2375
0.2375,0.26,0.265,0.2375
0.2375,0.2625,0.2625,0.2375
0.2375,0.2625,0.26,0.24
0.2375,0.2625,0.26,0.24
0.2375,0.2625,0.26,0.24
0.2375,0.265,0.2575,0.24
0.24,0.265,0.255,0.24
0.2425,0.265,0.2525,0.24
0.245,0.265,0.25,0.24
0.245,0.265,0.25,0.24
0.245,0.265,0.25,0.24
0.2475,0.265,0.25,0.2375
0.245,0.2675,0.25,0.2375
0.245,0.2675,0.25,0.2375
0.245,0.2675,0.25,0.2375
0.245,0.2675,0.25,0.2375
0.245,0.2675,0.25,0.2375
0.245,0.2675,0.2475,0.24
0.2425,0.2675,0.25,0.24
0.245,0.2675,0.2475,0.24
0.245,0.265,0.2475,0.2425
0.245,0.265,0.2475,0.2425
0.2475,0.265,0.245,0.2425
0.25,0.265,0.245,0.24
0.25,0.2625,0.2475,0.24
0.25,0.2625,0.25,0.2375
0.25,0.2625,0.25,0.2375
0.2475,0.2625,0.25,0.24
0.25,0.26,0.25,0.24
0.25,0.26,0.25,0.24
0.25,0.26,0.2525,0.2375
